Start IP,End IP,Country Code,Country,Region,City,CIDR
37.111.169.0,37.111.170.255,PK,Pakistan,Azad Jammu and Kashmir,Muzaffarabad,37.111.169.0/24
37.111.171.0,37.111.171.255,PK,Pakistan,Punjab,Daultala,37.111.171.0/24
37.111.172.0,37.111.172.255,PK,Pakistan,Punjab,Jhang Sadr,37.111.172.0/24
37.111.173.0,37.111.173.255,PK,Pakistan,Punjab,Daultala,37.111.173.0/24
37.111.174.0,37.111.174.255,PK,Pakistan,Sindh,Tando Muhammad Khan,37.111.174.0/24
37.111.175.0,37.111.175.255,PK,Pakistan,Sindh,Badin,37.111.175.0/24
37.111.176.0,37.111.176.255,PK,Pakistan,Azad Jammu and Kashmir,Muzaffarabad,37.111.176.0/24
37.111.177.0,37.111.178.255,PK,Pakistan,Islamabad,Islamabad,37.111.177.0/24
37.111.179.0,37.111.179.255,PK,Pakistan,Sindh,Umarkot,37.111.179.0/24
37.111.180.0,37.111.180.255,PK,Pakistan,Punjab,Chiniot,37.111.180.0/24
37.111.181.0,37.111.181.255,PK,Pakistan,Sindh,Karachi,37.111.181.0/24
37.111.182.0,37.111.187.255,PK,Pakistan,Islamabad,Islamabad,37.111.182.0/23
37.111.188.0,37.111.188.255,PK,Pakistan,Sindh,Islamkot,37.111.188.0/24
37.111.189.0,37.111.189.255,PK,Pakistan,Khyber Pakhtunkhwa,Paharpur,37.111.189.0/24
37.111.190.0,37.111.190.255,PK,Pakistan,Punjab,Rawalpindi,37.111.190.0/24
37.111.191.0,37.111.191.255,PK,Pakistan,Sindh,Sanghar,37.111.191.0/24
38.7.160.0,38.7.191.255,PK,Pakistan,Sindh,Karachi,38.7.160.0/19
38.10.160.0,38.10.175.255,PK,Pakistan,Sindh,Karachi,38.10.160.0/20
38.52.194.0,38.52.195.255,PK,Pakistan,Islamabad,Islamabad,38.52.194.0/23
38.54.21.0,38.54.21.255,PK,Pakistan,Sindh,Karachi,38.54.21.0/24
38.54.78.0,38.54.79.255,PK,Pakistan,Sindh,Karachi,38.54.78.0/23
38.60.217.0,38.60.217.255,PK,Pakistan,Sindh,Karachi,38.60.217.0/24
38.179.26.0,38.179.26.255,PK,Pakistan,Islamabad,Islamabad,38.179.26.0/24
38.191.96.0,38.191.111.255,PK,Pakistan,Punjab,Faisalabad,38.191.96.0/20
38.253.124.0,38.253.125.255,PK,Pakistan,Islamabad,Islamabad,38.253.124.0/23
39.32.0.0,39.32.0.255,PK,Pakistan,Islamabad,Islamabad,39.32.0.0/24
39.32.1.0,39.32.18.255,PK,Pakistan,Punjab,Rawalpindi,39.32.1.0/24
39.32.19.0,39.32.19.255,PK,Pakistan,Islamabad,Islamabad,39.32.19.0/24
39.32.20.0,39.32.20.255,PK,Pakistan,Punjab,Jhelum,39.32.20.0/24
39.32.21.0,39.32.25.255,PK,Pakistan,Punjab,Rawalpindi,39.32.21.0/24
39.32.26.0,39.32.26.255,PK,Pakistan,Islamabad,Islamabad,39.32.26.0/24
39.32.27.0,39.32.28.255,PK,Pakistan,Punjab,Rawalpindi,39.32.27.0/24
39.32.29.0,39.32.29.255,PK,Pakistan,Islamabad,Islamabad,39.32.29.0/24
39.32.30.0,39.32.32.255,PK,Pakistan,Punjab,Rawalpindi,39.32.30.0/23
39.32.33.0,39.32.34.255,PK,Pakistan,Islamabad,Islamabad,39.32.33.0/24
39.32.35.0,39.32.53.255,PK,Pakistan,Punjab,Rawalpindi,39.32.35.0/24
39.32.54.0,39.32.54.255,PK,Pakistan,Khyber Pakhtunkhwa,Peshawar,39.32.54.0/24
39.32.55.0,39.32.63.255,PK,Pakistan,Punjab,Rawalpindi,39.32.55.0/24
39.32.64.0,39.32.64.255,PK,Pakistan,Islamabad,Islamabad,39.32.64.0/24
39.32.65.0,39.32.65.255,PK,Pakistan,Khyber Pakhtunkhwa,Swabi,39.32.65.0/24
39.32.66.0,39.32.69.255,PK,Pakistan,Punjab,Rawalpindi,39.32.66.0/23
39.32.70.0,39.32.70.255,PK,Pakistan,Islamabad,Islamabad,39.32.70.0/24
39.32.71.0,39.32.72.255,PK,Pakistan,Punjab,Rawalpindi,39.32.71.0/24
39.32.73.0,39.32.73.255,PK,Pakistan,Khyber Pakhtunkhwa,Swabi,39.32.73.0/24
39.32.74.0,39.32.76.255,PK,Pakistan,Punjab,Rawalpindi,39.32.74.0/23
39.32.77.0,39.32.77.255,PK,Pakistan,Islamabad,Islamabad,39.32.77.0/24
39.32.78.0,39.32.81.255,PK,Pakistan,Punjab,Rawalpindi,39.32.78.0/23
39.32.82.0,39.32.82.255,PK,Pakistan,Islamabad,Islamabad,39.32.82.0/24
39.32.83.0,39.32.89.255,PK,Pakistan,Punjab,Rawalpindi,39.32.83.0/24
39.32.90.0,39.32.90.255,PK,Pakistan,Khyber Pakhtunkhwa,Swabi,39.32.90.0/24
39.32.91.0,39.32.93.255,PK,Pakistan,Punjab,Rawalpindi,39.32.91.0/24
